Nome_do_bairro,Cod_setor,TOTAL_FAIXA_ETARIA,ABAIXO1ANO,1A9ANOS,10A19ANOS,20A29ANOS,30A39ANOS,40A49ANOS,50A59ANOS,ACIMA60ANOS,Cod_setor,ATEMEIOSALARIO,DEMEIOA1SALARIO,DE1A2SALARIOS,DE2A3SALARIOS,DE3A5SALARIOS,DE5A10SALARIOS,DE10A15SALARIOS,DE15A20SALARIOS,MAISDE20SALARIOS,SEMSALARIO,TOTAL_SALARIOS,PRACAS,PARQUES,EMPRESAS OUTROS GROUPOS,EMPRESAS PEQUENO PORTE
Horto,3727440067562346,3429,26,237,400,649,574,540,444,559,3727440067562346,31,422,569,326,415,426,103,48,30,796,3429,3.0,0.0,116.0,49.0
Horto Florestal,3416820061931638,5971,37,474,806,1089,813,862,823,1067,3416820061931638,76,1126,1358,584,447,253,36,23,10,1547,5971,2.0,1.0,58.0,12.0
Inconfidência,2174340039552074,3465,25,319,496,669,559,480,401,516,2174340039552074,28,725,832,269,190,133,18,13,6,907,3465,0.0,0.0,65.0,32.0
Indaiá,1553100028400699,3317,26,270,442,914,537,454,320,354,1553100028400699,23,298,475,324,434,471,91,49,22,834,3317,0.0,1.0,100.0,30.0
Independência,3727440307321873,8334,121,1217,1398,1613,1549,966,723,747,3727440307321873,185,1665,1844,462,221,66,5,3,2,2543,8334,3.0,0.0,20.0,2.0
Ipe,1863720363840745,4687,49,525,783,833,731,723,450,593,1863720363840745,42,1095,971,269,195,96,14,10,6,1415,4687,1.0,0.0,18.0,21.0
Ipiranga,5591160101520949,12194,97,950,1584,2304,1823,1831,1709,1896,5591160101520949,76,1513,2134,1108,1275,1358,296,220,214,2953,12194,1.0,0.0,251.0,93.0
Itaipu,3727440307322408,8676,95,1088,1480,1713,1415,1204,911,770,3727440307322408,155,1683,1921,584,319,126,6,10,2,2687,8676,1.0,0.0,20.0,11.0
Itapoa,4348680849520471,9476,67,725,1203,1788,1610,1369,1121,1593,4348680849520471,48,773,1400,937,1097,1209,277,216,141,2586,9476,3.0,1.0,345.0,135.0
Itatiaia,931860017040407,1793,30,194,342,318,320,238,175,176,931860017040407,36,453,369,93,55,25,6,1,2,529,1793,0.0,0.0,25.0,7.0
Jaqueline,5901781152543718,16195,217,2100,2875,2854,3123,2227,1518,1281,5901781152543718,280,3449,3614,1099,680,307,32,14,4,4399,16195,5.0,0.0,81.0,21.0
Jaraguá,2174340039761131,4059,26,339,490,696,635,632,526,715,2174340039761131,11,379,536,365,497,561,135,113,85,1012,4059,3.0,0.0,116.0,32.0
Jardim Alvorada,6523020118658754,9914,108,1140,1632,1809,1567,1451,1024,1183,6523020118658754,171,2359,2233,621,374,217,25,20,10,2636,9914,0.0,0.0,51.0,37.0
Jardim América,7454880136085609,11177,135,1069,1435,2005,1997,1759,1328,1400,7454880136085609,79,1429,1871,1036,1306,1249,228,131,87,2508,11177,2.0,0.0,280.0,60.0
Jardim Atlântico,1242480187720224,1459,13,162,206,268,233,190,199,188,1242480187720224,3,167,210,76,123,192,47,52,37,377,1459,0.0,0.0,46.0,25.0
Jardim Felicidade,5280541031221645,15486,222,2319,2688,3326,2495,1681,1656,1099,5280541031221645,424,4063,3123,558,183,59,5,3,0,4527,15486,2.0,0.0,30.0,2.0
Jardim Guanabara,5280541031221543,11635,131,1304,1731,2186,2250,1537,1143,1353,5280541031221543,114,2284,2654,950,703,379,41,13,9,3053,11635,4.0,0.0,57.0,21.0
Jardim Leblon,7765501517256225,9460,129,1165,1538,1927,1622,1295,978,806,7765501517256225,179,1810,2130,722,443,213,25,13,11,2620,9460,0.0,0.0,61.0,17.0
Jardim Montanhês,3416820062151500,5957,43,505,759,1201,899,830,851,869,3416820062151500,50,878,1266,590,573,467,83,43,20,1439,5957,0.0,0.0,115.0,67.0
Jardim São José,3727440067802593,6964,75,756,1148,1228,1131,1034,700,892,3727440067802593,139,1637,1654,463,261,118,17,7,5,1832,6964,0.0,0.0,44.0,10.0
Jardim Vitoria,3416820667040848,9534,160,1411,1664,1772,1885,1143,843,656,3416820667040848,163,1902,2194,561,293,126,10,4,1,2709,9534,1.0,2.0,75.0,14.0
Jardim do Vale,621240051220834,1117,18,203,255,194,191,132,70,54,621240051220834,28,224,229,43,21,2,1,0,0,348,1117,2.0,0.0,1.0,0.0
Jardim dos Comerciarios,8386741638635597,21238,324,2784,3858,4082,3641,2715,1976,1858,8386741638635597,430,4055,5131,1361,604,196,26,13,5,6309,21238,2.0,0.0,34.0,15.0
Jardinópolis,2174340039692442,1728,8,161,253,322,266,231,218,269,2174340039692442,28,282,393,162,144,90,13,7,4,436,1728,2.0,0.0,55.0,45.0
Jatobá,1553100128051118,3447,47,428,576,654,573,451,373,345,1553100128051118,72,664,780,249,138,39,6,0,0,1024,3447,2.0,0.0,19.0,9.0
Jonas Veiga,1863720033781976,2580,29,311,408,442,441,384,262,303,1863720033781976,22,444,566,222,196,100,16,14,2,658,2580,3.0,0.0,21.0,12.0
João Alfredo,310620005630314,391,4,53,73,72,68,40,35,46,310620005630314,2,108,75,14,10,6,2,0,0,117,391,0.0,0.0,0.0,1.0
João Paulo II,621240051220339,1792,19,167,250,379,311,267,231,168,621240051220339,14,237,460,217,165,79,2,0,0,432,1792,0.0,0.0,5.0,1.0
João Pinheiro,5901780107354469,9640,97,795,1196,1864,1488,1483,1266,1451,5901780107354469,87,1469,1814,933,964,829,108,70,52,2422,9640,3.0,0.0,99.0,47.0
Juliana,4038060788582906,5892,109,766,941,1246,1167,758,477,428,4038060788582906,60,1104,1496,417,205,80,5,0,1,1649,5892,0.0,0.0,22.0,10.0
Lagoa,4348680849662911,9127,120,1166,1706,1707,1549,1130,857,892,4348680849662911,286,2214,1841,414,207,63,10,4,0,2802,9127,2.0,1.0,26.0,8.0
Lagoinha,2174340039521967,3873,33,278,448,760,570,567,493,724,2174340039521967,27,613,841,468,425,314,55,35,10,774,3873,3.0,0.0,127.0,57.0
Lagoinha Leblon,2795580546211384,5973,74,748,975,1170,1114,729,631,532,2795580546211384,81,1268,1323,441,204,106,8,1,2,1717,5973,2.0,0.0,30.0,12.0
Lajedo,1553100303300533,4862,65,650,861,970,811,672,508,325,1553100303300533,58,839,1157,371,180,54,5,5,2,1476,4862,1.0,0.0,11.0,0.0
Laranjeiras,310620060690264,163,5,28,23,29,31,21,14,12,310620060690264,1,44,32,12,2,1,0,0,0,38,163,0.0,1.0,0.0,0.0
Leonina,1242480022681250,3670,65,621,786,762,578,403,247,208,1242480022681250,90,1001,782,80,19,9,1,0,2,1000,3670,1.0,0.0,9.0,2.0
Leticia,3727440728280790,7715,94,857,1163,1448,1398,1073,791,891,3727440728280790,87,1372,1705,678,403,179,25,16,7,2292,7715,3.0,0.0,54.0,39.0
Liberdade,2484960045440833,4477,28,312,608,1167,702,631,477,552,2484960045440833,23,352,723,533,518,610,145,101,75,1057,4477,1.0,0.0,155.0,35.0
Lindéia,10561080870749600,24146,312,2967,3911,4615,4236,3216,2329,2560,10561080870749600,351,4799,5637,1826,965,295,18,13,10,6953,24146,4.0,0.0,79.0,41.0
Lorena,310620005650416,91,1,7,19,16,13,12,10,13,310620005650416,1,16,20,4,1,0,1,1,3,36,91,0.0,0.0,0.0,0.0
Lourdes,11492940207950804,18905,136,1053,1968,3896,2604,2491,2727,4030,11492940207950804,33,610,1476,1027,1600,3061,1211,1583,2533,4582,18905,2.0,0.0,2533.0,727.0
Luxemburgo,3106200056203911,6412,66,554,702,1122,1000,1048,981,939,3106200056203911,14,168,394,301,577,1184,467,518,606,1563,6412,1.0,1.0,475.0,104.0
Madre Gertrudes,3727440128042319,4475,64,469,621,795,765,700,506,517,3727440128042319,59,637,988,530,351,157,28,7,2,1145,4475,1.0,0.0,51.0,13.0
Madri,621240121320273,939,8,136,157,178,160,117,100,83,621240121320273,11,236,199,46,29,8,0,0,0,266,939,0.0,1.0,1.0,1.0
Mala e Cuia,310620005620490,60,0,2,13,13,4,15,5,8,310620005620490,1,19,10,4,1,0,0,0,2,21,60,0.0,0.0,0.0,0.0
Manacas,4038060073842137,8248,157,1282,1464,1516,1768,1019,608,434,4038060073842137,146,1422,1132,498,596,622,112,56,22,2203,8248,1.0,0.0,165.0,16.0
Mangabeiras,1553100028101955,1947,13,107,172,307,289,248,225,586,1553100028101955,2,57,179,79,145,303,92,177,287,506,1947,13.0,3.0,79.0,26.0
Mangueiras,1863720153661020,3467,55,389,574,683,604,459,387,316,1863720153661020,54,575,741,253,200,81,9,2,0,1108,3467,0.0,0.0,16.0,5.0
Mantiqueira,9318601820705644,20282,272,2538,3484,3870,3411,2649,2050,2008,9318601820705644,391,4897,4382,1086,620,228,19,8,8,5833,20282,9.0,0.0,95.0,48.0
Marajó,1242480022680689,2885,32,313,431,480,488,441,285,415,1242480022680689,14,549,566,284,171,102,13,11,5,825,2885,0.0,0.0,13.0,8.0
Maravilha,310620005650501,56,0,6,10,15,5,11,3,6,310620005650501,0,15,15,4,2,2,0,0,0,12,56,0.0,0.0,0.0,1.0
Maria Goretti,3727440727681398,8501,86,984,1406,1501,1447,1219,911,947,3727440727681398,127,1873,1818,532,354,158,24,9,7,2529,8501,2.0,0.0,49.0,13.0
Maria Helena,3106200606901383,7683,96,930,1234,1458,1407,1018,824,716,3106200606901383,97,1543,1805,467,408,164,21,5,5,2142,7683,0.0,0.0,42.0,12.0
Maria Tereza,310620060660192,373,9,58,62,66,74,58,21,25,310620060660192,12,106,78,11,5,1,0,0,0,93,373,0.0,0.0,0.0,0.0
Maria Virgínia,1863720033840974,3837,45,458,611,695,672,575,387,394,1863720033840974,120,698,711,274,256,204,40,26,18,987,3837,0.0,0.0,49.0,11.0
Mariano de Abreu,1242480022520813,3541,65,504,705,702,586,399,310,270,1242480022520813,78,999,651,94,40,25,2,4,1,1078,3541,0.0,0.0,6.0,0.0
Marieta 1ª Seção,621240051220640,1227,12,147,209,230,190,157,154,128,621240051220640,12,342,261,55,23,9,0,0,0,366,1227,0.0,0.0,0.0,1.0
Marieta 2ª Seção,310620025610318,181,1,16,39,31,35,22,11,26,310620025610318,4,46,43,9,3,1,0,0,0,58,181,0.0,0.0,0.0,0.0
Marieta 3ª Seção,310620025610317,96,0,13,12,19,16,18,10,8,310620025610317,1,19,20,10,0,0,0,0,0,33,96,0.0,0.0,0.0,0.0
Marilandia,621240051220411,865,5,93,145,125,141,123,108,125,621240051220411,3,182,204,71,18,10,2,0,0,277,865,0.0,0.0,10.0,8.0
Mariquinhas,931860181980439,2147,31,360,456,411,297,276,172,144,931860181980439,63,637,307,42,23,3,0,1,1,679,2147,1.0,0.0,3.0,0.0
Marmiteiros,621240011300616,785,10,87,130,175,111,118,81,73,621240011300616,52,231,121,20,17,9,2,0,0,236,785,0.0,0.0,1.0,1.0
Marçola,3727440067442207,6556,106,960,1358,1261,1046,794,483,548,3727440067442207,169,1920,1264,199,103,48,10,5,4,1768,6556,1.0,0.0,14.0,0.0
Milionario,5591160460984479,12175,156,1338,1866,2299,2095,1725,1408,1288,5591160460984479,182,1985,2775,1141,900,434,49,19,8,3188,12175,5.0,0.0,103.0,40.0
Minas Brasil,2484960045201788,3511,33,254,434,635,560,599,434,562,2484960045201788,19,339,486,344,454,478,115,94,65,830,3511,1.0,0.0,96.0,24.0
Minas Caixa,4659300910353647,10592,97,1101,1669,1746,1845,1632,975,1527,4659300910353647,108,2055,2366,765,542,302,47,17,5,3187,10592,3.0,0.0,56.0,21.0
Minaslandia,2795580545941550,6490,73,716,1056,1205,1062,993,685,700,2795580545941550,111,1270,1524,498,358,182,25,9,10,1714,6490,2.0,1.0,73.0,20.0
Mineirão,1863720153661386,4235,69,546,660,933,722,459,522,324,1863720153661386,71,866,995,268,124,38,4,0,0,1254,4235,1.0,0.0,12.0,0.0
Miramar,2484960204881032,6124,77,644,921,1184,898,996,680,724,2484960204881032,81,929,1464,551,414,228,29,8,11,1688,6124,1.0,0.0,36.0,18.0
Mirante,310620060660068,565,10,100,127,91,100,65,37,35,310620060660068,6,90,102,17,5,0,0,0,0,235,565,0.0,0.0,0.0,0.0
Mirtes,310620060640168,346,5,82,82,61,62,35,4,15,310620060640168,16,59,68,6,3,0,0,0,0,107,346,0.0,0.0,0.0,0.0
Monsenhor Messias,2795580050852245,4489,40,342,498,855,759,664,610,721,2795580050852245,28,488,912,484,537,509,85,51,28,985,4489,1.0,0.0,125.0,31.0
Monte Azul,1242480242640819,3494,47,442,662,672,569,432,319,351,1242480242640819,39,793,822,132,56,17,1,0,1,1144,3494,1.0,0.0,12.0,2.0
Monte São José,310620005620377,1111,18,173,194,261,165,142,86,72,310620005620377,26,324,268,54,19,3,1,0,0,225,1111,0.0,0.0,1.0,0.0
Morro dos Macacos,310620060640203,340,6,49,88,54,46,56,29,12,310620060640203,8,107,39,10,1,1,0,0,0,119,340,0.0,0.0,0.0,1.0
Nazare,5280541030881360,8182,103,1005,1261,1681,1467,1050,814,801,5280541030881360,119,1725,1592,459,310,123,5,6,4,2731,8182,1.0,0.0,52.0,17.0
Nossa Senhora Aparecida,1242480242760807,1603,22,261,276,304,297,172,127,144,1242480242760807,22,407,314,46,14,0,0,0,0,517,1603,0.0,0.0,0.0,0.0
Nossa Senhora da Aparecida,2174340039340693,4341,63,603,803,882,711,484,392,403,2174340039340693,78,1283,896,163,71,33,4,2,2,1143,4341,1.0,0.0,6.0,1.0
Nossa Senhora da Conceição,2795580050581180,6225,86,875,1187,1113,1084,748,547,585,2795580050581180,137,1899,1309,215,84,36,5,4,4,1571,6225,2.0,0.0,11.0,1.0
Nossa Senhora de Fátima,5280540095543059,9640,211,1678,2258,1883,1458,968,610,574,5280540095543059,371,2794,1433,165,65,22,7,11,4,2879,9640,1.0,0.0,19.0,2.0
Nossa Senhora do Rosário,310620005630402,173,4,15,44,33,27,25,12,13,310620005630402,2,74,23,3,1,3,0,0,0,48,173,0.0,0.0,3.0,0.0
Nova America,310620060690372,99,4,16,20,15,21,11,6,6,310620060690372,3,27,12,2,0,0,0,0,0,35,99,0.0,0.0,0.0,0.0
Nova Cachoeirinha,2795580050853640,4735,43,401,611,863,753,701,603,657,2795580050853640,30,661,969,525,470,315,56,26,12,1124,4735,2.0,0.0,58.0,42.0
Nova Cintra,2484960045361169,5664,55,620,886,1078,863,854,630,678,2484960045361169,115,1242,1322,432,267,144,16,8,7,1436,5664,2.0,0.0,28.0,11.0
Nova Esperança,2174340039551662,4426,52,482,633,791,696,647,509,616,2174340039551662,76,972,973,349,263,169,24,13,13,1040,4426,3.0,0.0,54.0,9.0
Nova Floresta,3106200056400996,4496,30,292,537,800,632,718,641,846,3106200056400996,15,456,691,465,533,615,143,108,63,1085,4496,1.0,0.0,102.0,35.0
Nova Gameleira,6212400113404776,9478,113,911,1334,1924,1645,1299,1085,1151,6212400113404776,96,1101,1979,937,924,702,101,75,46,2477,9478,2.0,0.0,95.0,28.0
Nova Granada,2795580051032043,5979,65,505,726,1208,1071,941,715,748,2795580051032043,63,617,947,559,770,771,226,72,104,1280,5979,1.0,0.0,261.0,63.0
Nova Pampulha,310620005680268,350,1,29,51,77,48,37,66,41,310620005680268,1,29,79,33,47,26,2,0,1,102,350,0.0,0.0,2.0,0.0
Nova Suíça,7454880136086821,15218,96,1116,1813,2848,2374,2415,2064,2492,7454880136086821,71,1380,2216,1537,2055,2148,470,317,150,3662,15218,4.0,0.0,548.0,140.0
Nova Vista,3416820061932561,8409,95,795,1220,1481,1347,1246,990,1235,3416820061932561,74,1452,1845,760,642,435,76,44,23,2168,8409,1.0,0.0,63.0,16.0
Novo Aarão Reis,2484960485281219,8287,132,1357,1782,1671,1372,914,606,453,2484960485281219,261,1922,1624,195,84,20,1,2,2,2687,8287,1.0,0.0,16.0,1.0
Novo Glória,4348680079103827,7856,81,808,1212,1328,1248,1188,852,1139,4348680079103827,184,1692,1757,638,434,233,40,18,8,1963,7856,1.0,0.0,37.0,15.0
Novo Ouro Preto,310620005680028,502,6,86,109,99,82,50,45,25,310620005680028,19,124,91,8,6,0,0,0,0,162,502,0.0,0.0,0.0,0.0
Novo Santa Cecilia,931860076830616,2355,19,284,385,478,396,370,248,175,931860076830616,30,379,623,216,107,27,1,3,2,664,2355,1.0,0.0,4.0,3.0
Novo São Lucas,2174340039412137,3926,41,329,412,744,722,548,533,597,2174340039412137,10,264,471,373,511,609,165,88,72,993,3926,2.0,1.0,134.0,10.0
Novo Tupi,1553100303301012,3048,51,471,620,534,506,393,258,215,1553100303301012,61,739,556,105,43,15,2,2,1,1002,3048,4.0,0.0,2.0,0.0
Novo das Industrias,3106200256102464,4614,45,532,700,814,811,562,451,535,3106200256102464,100,856,1076,338,227,88,10,7,1,1170,4614,0.0,0.0,16.0,11.0
Oeste,2795580050852870,3796,41,340,546,744,572,607,436,510,2795580050852870,42,672,821,358,264,156,27,15,6,1054,3796,1.0,0.0,71.0,38.0
Olaria,3106200256101397,5776,68,649,928,1137,1016,772,654,552,3106200256101397,66,945,1304,362,199,48,5,3,1,2126,5776,1.0,0.0,24.0,4.0
Olhos D'Água,1242480062561122,1566,13,169,210,234,212,141,113,87,1242480062561122,20,204,315,84,47,15,1,1,0,310,1566,1.0,0.0,117.0,28.0
Ouro Minas,1242480242560422,4143,59,529,748,805,770,668,356,208,1242480242560422,40,661,932,299,214,88,11,2,1,1307,4143,0.0,0.0,16.0,5.0
Ouro Preto,9629220176082734,17255,180,1686,2238,3625,3252,2406,1810,1852,9629220176082734,118,2155,2587,1271,1627,1900,535,374,237,4379,17255,10.0,1.0,536.0,162.0
Padre Eustáquio,15841620288162532,28773,215,2167,3208,5518,4415,4239,3972,5039,15841620288162532,223,3277,4959,2828,3476,3543,740,543,326,6476,28773,6.0,0.0,814.0,277.0
Palmares,2484960045121347,5521,61,564,678,938,1069,964,732,515,2484960045121347,16,258,590,459,730,969,249,225,124,1276,5521,4.0,1.0,258.0,34.0
Palmeiras,3727440068042758,7653,117,858,1160,1525,1352,1053,768,820,3727440068042758,69,1575,1702,608,494,297,45,15,3,1870,7653,2.0,0.0,85.0,26.0
Pantanal,310620005670376,919,23,153,204,204,151,89,63,32,310620005670376,14,239,186,23,8,2,0,0,0,271,919,0.0,0.0,0.0,0.0
Paquetá,3416820062481142,6420,76,744,868,1210,1315,994,623,590,3416820062481142,38,627,1010,543,675,745,181,169,113,1499,6420,5.0,2.0,159.0,72.0
Paraíso,7144260129494039,13414,111,1107,1792,2449,2007,1957,1703,2288,7144260129494039,89,2239,2909,1160,1141,968,160,90,66,3374,13414,0.0,0.0,153.0,54.0
Parque São José,1242480022680772,3184,43,350,490,587,576,475,319,344,1242480022680772,17,443,713,261,176,132,19,9,5,1016,3184,1.0,0.0,25.0,13.0
Parque São Pedro,1553100303451306,2313,20,248,353,426,375,333,273,285,1553100303451306,37,432,544,178,150,76,9,1,0,618,2313,1.0,0.0,31.0,15.0
Paulo VI,3416820667040861,6205,93,817,1124,1221,1062,789,681,418,3416820667040861,140,1387,1503,337,153,58,6,0,2,1709,6205,2.0,1.0,37.0,8.0
Pedreira Padro Lopes,2174340039552507,4453,61,677,864,756,705,559,407,424,2174340039552507,124,1262,680,113,74,32,0,4,2,1424,4453,2.0,0.0,7.0,0.0
Penha,931860016920486,2226,18,204,368,382,336,362,252,304,931860016920486,31,487,500,176,131,84,8,1,2,584,2226,1.0,0.0,18.0,9.0
Petropolis,1553100128051083,2150,33,299,389,386,410,293,191,149,1553100128051083,48,336,495,153,83,40,3,1,4,655,2150,0.0,0.0,34.0,6.0
Pilar,2174340179271917,2946,45,391,484,599,548,398,256,225,2174340179271917,40,543,853,207,97,39,2,3,3,723,2946,1.0,0.0,126.0,24.0
Pindorama,7765500141257458,17579,191,2063,2770,3018,2985,2522,1722,2308,7765500141257458,376,3734,4032,1198,786,425,49,18,6,4701,17579,5.0,0.0,63.0,26.0
Pindura Saia,310620005620489,153,0,19,32,21,22,32,14,13,310620005620489,1,37,36,15,4,3,0,2,0,36,153,0.0,0.0,1.0,0.0
Piraja,1553100303200874,3231,46,352,504,575,510,493,364,387,1553100303200874,22,643,658,295,197,145,16,18,4,835,3231,2.0,0.0,28.0,1.0
Piratininga,9007981760014308,21149,281,2633,3431,4038,3730,2983,2105,1948,9007981760014308,391,4516,4778,1421,861,364,30,7,6,5861,21149,4.0,0.0,95.0,30.0
Pirineus,621240011260602,636,13,97,117,82,137,121,34,35,621240011260602,4,60,121,46,65,38,6,10,1,175,636,1.0,0.0,3.0,3.0
Planalto,8386741637824640,16814,156,1587,2202,2941,3052,2449,1896,2531,8386741637824640,111,2134,3080,1619,1738,1403,230,159,121,4476,16814,5.0,1.0,315.0,113.0
Pompéia,3727440067561777,5686,55,490,732,959,873,819,733,1025,3727440067561777,54,947,1116,494,475,369,63,38,31,1554,5686,3.0,0.0,79.0,20.0
Pongelupe,931860076830192,2680,31,302,454,482,451,475,289,196,931860076830192,43,402,570,248,217,121,13,6,1,726,2680,4.0,0.0,8.0,0.0
Pousada Santo Antonio,621240121280178,1629,29,206,279,346,328,195,143,103,621240121280178,27,279,393,141,89,47,5,2,2,409,1629,0.0,1.0,13.0,5.0
Prado,6212400113406032,13800,77,824,1339,2688,2022,1865,1983,3002,6212400113406032,53,935,1745,1330,2003,2349,575,538,372,2999,13800,4.0,0.0,1011.0,408.0
Primeiro de Maio,1553100303300796,2421,22,275,443,382,365,387,263,284,1553100303300796,69,606,501,115,64,33,2,2,1,731,2421,1.0,0.0,10.0,4.0
Providencia,4659300909902663,7970,72,878,1266,1437,1245,1182,903,987,4659300909902663,170,1856,1741,478,324,158,12,4,1,2276,7970,4.0,0.0,39.0,8.0
Renascença,5280540095881183,8882,71,616,1006,1503,1219,1256,1300,1911,5280540095881183,61,1195,1663,972,1044,843,179,129,62,2047,8882,3.0,0.0,128.0,63.0
Ribeiro de Abreu,7144261394782573,16020,229,2018,2726,3168,2549,2100,1746,1345,7144261394782573,397,3362,3664,1058,567,260,23,9,3,4291,16020,3.0,0.0,41.0,13.0
Rio Branco,5591161092421652,12768,145,1406,2004,2283,2316,1870,1370,1374,5591161092421652,157,2217,2763,1091,909,547,56,38,14,3425,12768,6.0,2.0,102.0,62.0
Sagrada Família,18015960326551216,34395,279,2586,3957,6164,5596,5241,4869,5703,18015960326551216,204,3512,5457,3433,4057,4448,1038,711,453,8217,34395,8.0,0.0,962.0,246.0
Salgado Filho,7144260130413150,14679,131,1321,1987,2672,2379,2217,1806,2166,7144260130413150,137,2351,2764,1345,1352,1180,190,124,107,3677,14679,2.0,0.0,222.0,57.0
Santa Amelia,6833641334960558,18188,182,1795,2528,3240,3351,2949,2143,2000,6833641334960558,74,1507,2635,1594,2108,2273,478,350,187,5005,18188,8.0,0.0,425.0,145.0
Santa Branca,4038060788840466,5355,67,473,668,958,1006,754,622,720,4038060788840466,14,531,865,549,630,611,87,60,50,1331,5355,2.0,0.0,126.0,77.0
Santa Cecilia,1553100128050732,2917,34,365,494,572,463,415,313,261,1553100128050732,24,396,791,186,76,32,1,0,2,1010,2917,1.0,0.0,19.0,9.0
Santa Cruz,8386740152282167,22306,242,2143,3142,4149,3410,3357,2892,2971,8386740152282167,269,4062,4495,1961,1750,1353,252,127,80,5572,22306,3.0,0.0,241.0,85.0
Santa Efigênia,9629220174445720,17653,135,1240,1841,3650,2837,2489,2391,3070,9629220174445720,72,1778,2481,1571,2069,2448,615,578,431,4235,17653,8.0,0.0,2287.0,760.0
Santa Helena,3106200256101593,5356,62,569,757,929,943,837,558,701,3106200256101593,66,777,1204,531,470,277,28,20,8,1344,5356,2.0,0.0,59.0,27.0
Santa Inês,4038060073192767,9172,74,727,1129,1511,1377,1534,1122,1698,4038060073192767,83,971,1559,965,975,1058,241,159,99,2261,9172,2.0,0.0,206.0,68.0
Santa Isabel,310620005620487,139,3,11,25,21,24,21,14,20,310620005620487,1,33,35,8,7,3,2,0,0,36,139,0.0,0.0,1.0,0.0
Santa Lúcia,3727440067494645,7225,38,435,695,1369,1009,936,1296,1447,3727440067494645,16,274,550,409,790,1369,465,524,575,1780,7225,9.0,3.0,1153.0,303.0
Santa Margarida,1553100128051347,2311,25,204,367,381,334,366,261,373,1553100128051347,34,485,527,208,132,59,6,1,0,630,2311,1.0,0.0,17.0,10.0
Santa Maria,2484960045201906,7075,83,780,1144,1208,1156,1055,760,889,2484960045201906,87,1243,1459,567,495,344,50,21,16,1930,7075,2.0,1.0,51.0,19.0
Santa Monica,10250462002714568,23883,261,2386,3540,4258,4231,3689,2708,2810,10250462002714568,258,3568,4940,2295,2072,1471,187,89,50,6306,23883,7.0,0.0,259.0,87.0
Santa Rita,931860076830488,2790,34,386,533,614,401,331,289,202,931860076830488,87,635,654,104,55,11,0,0,0,824,2790,0.0,0.0,1.0,0.0
Santa Rita de Cássia,2174340039342067,6082,103,914,1249,1196,967,777,439,437,2174340039342067,173,1881,1083,107,73,42,21,24,22,1639,6082,2.0,0.0,11.0,1.0
Santa Rosa,3416820062481584,6723,70,581,897,1181,1060,1125,853,956,3416820062481584,45,686,980,596,737,790,221,117,87,1813,6723,3.0,1.0,169.0,56.0
Santa Sofia,1553100028351149,2782,41,425,537,519,452,320,256,232,1553100028351149,52,778,467,79,57,42,9,2,2,828,2782,0.0,1.0,7.0,2.0
Santa Tereza,8076120146384098,15607,103,1090,1743,2849,2345,2340,2140,2997,8076120146384098,115,1563,2395,1404,1948,2179,537,414,282,3577,15607,6.0,0.0,470.0,97.0
Santa Terezinha,6523020119282060,15792,197,1605,2417,2940,2634,2367,1803,1829,6523020119282060,150,2875,3630,1419,1072,617,86,33,14,4094,15792,1.0,0.0,132.0,46.0
Santana do Cafezal,2484960044961607,4078,76,666,841,847,632,448,296,272,2484960044961607,135,1210,710,98,32,15,1,3,3,1129,4078,2.0,0.0,10.0,1.0
Santo Agostinho,6833640123647378,9881,64,610,1029,1830,1271,1451,1502,2124,6833640123647378,13,435,857,586,1001,1704,562,772,998,2279,9881,3.0,1.0,1645.0,428.0
Santo André,4969920090405990,7411,66,696,1090,1375,1145,1000,901,1138,4969920090405990,81,1543,1624,648,516,336,54,28,24,1795,7411,3.0,0.0,79.0,56.0
Santo Antônio,10871700196710166,21642,167,1188,1967,4303,3287,3033,3443,4254,10871700196710166,43,886,1880,1373,2557,4437,1475,1522,1425,4689,21642,5.0,2.0,1473.0,337.0
Satelite,310620060660195,482,5,49,71,104,65,65,64,59,310620060660195,2,92,128,39,27,9,4,1,0,126,482,0.0,0.0,7.0,2.0
Saudade,2484960045041044,4893,47,462,723,858,733,746,594,730,2484960045041044,42,953,1011,427,322,250,29,21,12,1317,4893,2.0,0.0,27.0,6.0
Savassi,8386740151744182,11772,95,629,1067,2206,1731,1608,1619,2817,8386740151744182,18,403,887,549,1152,2222,898,998,1316,2605,11772,13.0,0.0,3409.0,1007.0
Senhor dos Passos,1553100028252030,2849,30,365,523,490,413,381,287,360,1553100028252030,69,710,513,91,63,23,3,4,0,978,2849,2.0,0.0,4.0,0.0
Serra,9629220174222536,20277,128,1288,2007,3518,2712,2839,3129,4656,9629220174222536,39,965,1980,1342,2135,3439,1134,1335,1470,5022,20277,6.0,0.0,1354.0,362.0
Serra Verde,5280541031734360,14005,184,1726,2239,2692,2491,1799,1516,1358,5280541031734360,229,2747,3109,1117,661,273,19,5,4,3931,14005,3.0,1.0,191.0,29.0
Serra do Curral,931860076830356,344,4,44,65,80,53,44,34,20,931860076830356,5,58,80,28,14,3,0,0,0,108,344,1.0,2.0,17.0,4.0
Serrano,4969920090644092,9971,118,1023,1483,1853,1834,1588,1051,1021,4969920090644092,120,1225,2118,991,958,695,116,71,38,2498,9971,1.0,0.0,159.0,45.0
Silveira,3416820062041122,5800,50,480,765,1092,931,1012,836,634,3416820062041122,13,272,511,426,736,1013,306,338,235,1420,5800,3.0,2.0,216.0,44.0
