Nome_do_bairro,Cod_setor,TOTAL_FAIXA_ETARIA,ABAIXO1ANO,1A9ANOS,10A19ANOS,20A29ANOS,30A39ANOS,40A49ANOS,50A59ANOS,ACIMA60ANOS,Cod_setor,ATEMEIOSALARIO,DEMEIOA1SALARIO,DE1A2SALARIOS,DE2A3SALARIOS,DE3A5SALARIOS,DE5A10SALARIOS,DE10A15SALARIOS,DE15A20SALARIOS,MAISDE20SALARIOS,SEMSALARIO,TOTAL_SALARIOS,PRACAS,PARQUES,EMPRESAS OUTROS GROUPOS,EMPRESAS PEQUENO PORTE
Beira Linha,1553100303200434,4132,66,678,899,784,636,512,332,225,1553100303200434,178,997,805,119,38,9,2,2,4,1234,4132,1.0,0.0,3.0,2.0
Bela Vitoria,621240121280305,664,6,110,104,116,123,103,54,48,621240121280305,1,117,175,42,24,12,1,2,1,173,664,0.0,0.0,2.0,0.0
Belmonte,1242480242560208,2236,36,241,277,400,348,202,140,124,1242480242560208,61,354,409,149,74,34,0,0,0,410,2236,0.0,1.0,9.0,0.0
Belvedere,3727440067444667,8828,87,793,1008,1429,1441,1426,1327,1317,3727440067444667,8,158,465,272,448,1150,431,778,1511,2727,8828,5.0,0.0,1060.0,383.0
Bernadete,621240051220675,1516,25,268,331,266,255,190,97,84,621240051220675,34,346,314,59,30,7,0,0,0,433,1516,1.0,0.0,1.0,0.0
Betânia,4348680079381514,12054,133,1315,1815,2213,2074,1730,1289,1485,4348680079381514,174,1969,2460,1090,902,650,117,52,28,3164,12054,3.0,0.0,123.0,64.0
Biquinhas,1553100303301064,1671,20,240,347,292,303,215,135,119,1553100303301064,34,464,241,47,17,5,0,1,0,602,1671,0.0,0.0,0.0,0.0
Boa Esperança,310620060640031,546,12,70,106,113,108,50,48,39,310620060640031,16,175,82,13,8,4,0,0,0,166,546,0.0,0.0,0.0,0.0
Boa União 1ª Seção,310620060660239,309,5,49,57,53,48,35,31,31,310620060660239,12,81,56,9,5,0,0,0,0,92,309,0.0,0.0,0.0,0.0
Boa União 2ª Seção,310620060660238,177,6,27,50,34,20,20,6,14,310620060660238,9,46,13,1,1,0,0,0,0,74,177,0.0,0.0,0.0,0.0
Boa Viagem,2484960044961754,4564,15,163,444,1206,565,502,578,1091,2484960044961754,13,249,464,337,536,825,276,286,319,1081,4564,2.0,0.0,397.0,88.0
Boa Vista,7144260129494182,17574,189,1738,2608,3348,2664,2684,2037,2306,7144260129494182,212,3418,3988,1486,1203,696,88,62,51,4443,17574,2.0,0.0,112.0,36.0
Bom Jesus,2174340039552566,3615,37,326,471,685,532,494,501,569,2174340039552566,33,733,832,333,248,135,26,9,5,898,3615,2.0,0.0,12.0,10.0
Bonfim,3106200056503959,4448,32,398,548,731,657,660,579,843,3106200056503959,41,793,1016,459,372,278,62,38,27,932,4448,3.0,0.0,136.0,114.0
Bonsucesso,3106200256103203,6424,97,929,1185,1179,1164,891,541,438,3106200256103203,129,1320,1400,394,238,92,6,1,3,1815,6424,1.0,0.0,26.0,7.0
Brasil Industrial,3106200256101220,7030,85,732,1029,1468,1159,942,792,823,3106200256101220,97,1296,1597,608,500,181,16,7,3,1908,7030,1.0,0.0,22.0,8.0
Braúnas,1553100028400768,2031,13,166,262,222,271,270,146,282,1553100028400768,18,294,247,107,104,126,35,38,35,449,2031,3.0,0.0,20.0,4.0
Buraco Quente,310620005630185,1003,15,148,208,206,158,116,87,65,310620005630185,53,280,193,38,24,6,1,1,1,243,1003,0.0,0.0,0.0,0.0
Buritis,11182320204128800,29374,489,3463,3330,5125,7330,4971,2714,1952,11182320204128800,89,1284,2449,1501,2890,5460,2023,1835,1445,6446,29374,2.0,1.0,1626.0,369.0
CDI Jatoba,621240051220184,204,0,0,0,0,0,0,0,0,621240051220184,0,0,0,0,0,0,0,0,0,0,204,1.0,0.0,100.0,21.0
Cabana do Pai Tomás,10561080192786364,17994,240,2579,3369,3217,3051,2316,1483,1739,10561080192786364,540,4949,3556,697,298,121,20,8,13,4973,17994,5.0,0.0,25.0,5.0
Cachoeirinha,5280540095882058,9209,91,804,1195,1725,1367,1335,1202,1490,5280540095882058,109,1589,2055,875,797,539,92,59,32,2167,9209,3.0,0.0,167.0,103.0
Caetano Furquim,310620005630337,370,4,64,50,74,63,49,36,30,310620005630337,3,113,54,4,6,2,0,0,0,120,370,1.0,0.0,1.0,0.0
Caiçara - Adelaide,6212400113004116,10794,89,883,1335,1976,1585,1705,1573,1648,6212400113004116,73,1266,1670,967,1255,1374,307,226,152,2532,10794,4.0,0.0,209.0,62.0
Caiçaras,6212400113003087,13150,95,944,1602,2525,1882,1991,1716,2395,6212400113003087,85,1855,2554,1325,1342,1314,266,203,119,3048,13150,6.0,0.0,626.0,263.0
Calafate,4038060073713341,7475,69,505,854,1522,1085,1094,986,1360,4038060073713341,51,708,1112,612,1124,1052,268,220,122,1632,7475,6.0,0.0,279.0,80.0
Califórnia,2484960045202185,6080,65,756,957,1055,1188,865,533,661,2484960045202185,123,1082,1320,525,436,199,33,9,5,1527,6080,4.0,0.0,59.0,29.0
Camargos,6523020138716587,13088,170,1418,1727,2602,2636,2061,1316,1118,6523020138716587,90,1520,2636,1466,1443,951,134,83,35,3102,13088,6.0,0.0,184.0,102.0
Campo Alegre,1242480242640691,2776,22,270,423,398,426,517,252,468,1242480242640691,29,475,721,214,150,107,9,2,2,775,2776,7.0,0.0,7.0,3.0
Camponesa 1ª Seção,310620005630320,122,1,8,17,31,13,23,17,12,310620005630320,0,36,29,11,5,3,0,0,0,29,122,0.0,0.0,0.0,1.0
Camponesa 2ª Seção,310620005630315,236,2,32,43,43,27,38,22,29,310620005630315,2,2,84,12,6,0,0,0,0,96,236,0.0,0.0,0.0,0.0
Canaa,931860181980602,2614,29,365,436,475,492,421,233,163,931860181980602,35,413,545,195,162,108,16,10,4,732,2614,0.0,0.0,12.0,8.0
Canadá,310620005640107,492,3,44,60,84,81,77,62,81,310620005640107,2,92,104,56,34,38,3,2,2,112,492,1.0,0.0,20.0,10.0
Candelaria,3416820667591201,7495,80,820,1131,1282,1386,1141,770,885,3416820667591201,69,1200,1592,724,555,367,33,24,10,2021,7495,1.0,0.0,63.0,27.0
Capitão Eduardo,931860181920524,1256,26,214,251,193,246,154,71,36,931860181920524,48,231,250,44,18,4,0,0,0,356,1256,0.0,0.0,2.0,0.0
Cardoso,4038060332930925,10582,110,1157,1616,2013,1868,1483,1174,1161,4038060332930925,168,1766,2279,1000,720,379,35,19,15,2934,10582,1.0,0.0,58.0,24.0
Carlos Prates,8386740152560400,15285,122,951,1671,3097,2222,2206,2018,2998,8386740152560400,101,2043,2895,1720,1965,1609,259,179,104,3337,15285,6.0,0.0,500.0,245.0
Carmo,2484960044961330,3816,24,193,378,728,588,539,524,842,2484960044961330,10,170,315,194,391,794,226,279,315,905,3816,1.0,0.0,352.0,114.0
Casa Branca,3106200056302497,6351,67,737,1098,1146,951,927,638,624,3106200056302497,86,1267,1376,374,270,182,25,12,13,1779,6351,2.0,0.0,28.0,3.0
Castanheira,2795580230492122,5650,89,743,1042,1201,895,705,553,422,2795580230492122,131,1331,1245,260,105,25,2,2,1,1716,5650,1.0,0.0,13.0,6.0
Castelo,10250460187445096,17083,299,2036,2019,2798,4436,2813,1562,1120,10250460187445096,74,794,1602,1222,2124,3254,825,623,350,3880,17083,5.0,1.0,1058.0,243.0
Cenaculo,931860182070525,2299,22,255,396,429,378,350,256,213,931860182070525,33,534,463,159,149,55,4,6,1,618,2299,0.0,1.0,14.0,14.0
Centro,11182320202327980,16245,70,541,1623,4594,2181,1744,1847,3645,11182320202327980,77,1610,3051,1985,2427,2341,484,292,269,3098,16245,10.0,1.0,3596.0,1673.0
Chácara Leonina,621240011340869,434,7,85,112,68,72,46,22,22,621240011340869,8,121,62,4,2,2,0,0,0,143,434,0.0,0.0,2.0,0.0
Cidade Jardim,931860016860986,1528,8,53,118,258,239,171,223,458,931860016860986,16,70,158,133,232,291,89,102,87,289,1528,4.0,0.0,272.0,56.0
Cidade Jardim Taquaril,621240011260638,173,2,14,30,23,30,29,23,22,621240011260638,0,17,45,9,8,17,3,3,4,51,173,0.0,0.0,4.0,1.0
Cidade Nova,6523020118441515,15378,96,928,1680,3137,2154,2022,2489,2872,6523020118441515,39,786,1654,1206,2091,2849,728,666,522,3813,15378,7.0,1.0,773.0,162.0
Cinquentenário,2795580051031509,5460,69,599,819,934,985,869,600,585,2795580051031509,50,767,960,542,540,448,44,22,26,1393,5460,2.0,0.0,84.0,34.0
Colégio Batista,5280540095753916,10167,44,642,1174,1992,1526,1484,1343,1962,5280540095753916,53,939,1528,989,1328,1544,379,243,173,2305,10167,4.0,0.0,305.0,56.0
Comiteco,1242480022480810,1738,6,114,163,309,228,218,271,429,1242480022480810,4,52,148,84,168,269,95,180,203,415,1738,1.0,0.0,89.0,62.0
Concórdia,6212400112802885,10693,95,993,1346,2003,1510,1524,1386,1836,6212400112802885,115,1992,2522,942,883,606,85,56,38,2366,10693,4.0,0.0,104.0,47.0
Confisco,931860017040319,4283,67,512,804,911,637,620,436,296,931860017040319,71,942,907,247,121,47,3,1,0,1365,4283,1.0,1.0,11.0,3.0
Conjunto Bonsucesso,621240051220749,1030,15,183,223,212,145,108,92,52,621240051220749,29,236,194,31,14,2,0,0,0,326,1030,0.0,0.0,1.0,0.0
Conjunto Califórnia I,1553100028250974,3347,27,262,414,641,493,474,532,504,1553100028250974,20,381,598,360,402,347,54,36,15,845,3347,0.0,0.0,43.0,18.0
Conjunto Califórnia II,621240011300419,1737,23,154,250,395,265,261,234,155,621240011300419,15,263,401,198,179,82,5,4,1,412,1737,0.0,0.0,22.0,0.0
Conjunto Capitão Eduardo,931860181920456,2781,54,376,581,595,412,353,242,168,931860181920456,88,718,584,106,34,9,1,0,0,811,2781,1.0,0.0,5.0,0.0
Conjunto Celso Machado,1242480022601346,2696,21,188,297,468,402,355,328,637,1242480022601346,21,325,464,308,310,300,59,29,15,656,2696,4.0,0.0,23.0,18.0
Conjunto Floramar,310620060660206,916,9,128,157,226,131,107,84,74,310620060660206,4,333,121,18,8,3,0,0,0,292,916,0.0,0.0,0.0,0.0
Conjunto Jardim Filadélfia,931860016950351,3002,47,410,540,658,466,355,288,238,931860016950351,66,731,653,95,56,23,1,2,0,918,3002,0.0,0.0,2.0,1.0
Conjunto Jatoba,1242480102440589,3720,49,535,727,827,541,419,337,285,1242480102440589,98,970,705,161,64,8,0,2,0,1128,3720,0.0,0.0,1.0,1.0
Conjunto Lagoa,621240011360198,662,7,75,105,103,116,105,65,86,621240011360198,10,102,152,60,50,40,5,2,1,158,662,0.0,0.0,3.0,2.0
Conjunto Minas Caixa,1863720364141155,4421,63,656,841,985,660,513,422,281,1863720364141155,61,1130,716,126,59,14,2,0,2,1592,4421,1.0,0.0,7.0,0.0
Conjunto Novo Dom Bosco,931860016951305,704,11,104,142,150,107,65,79,46,931860016951305,22,207,131,21,8,5,2,1,0,192,704,0.0,0.0,0.0,0.0
Conjunto Paulo VI,1553100303200593,3228,49,515,681,661,471,365,289,197,1553100303200593,134,901,584,85,21,2,0,0,0,937,3228,2.0,0.0,5.0,0.0
Conjunto Providencia,310620060660232,283,2,39,62,53,42,35,24,26,310620060660232,15,98,45,13,5,0,0,0,0,66,283,0.0,0.0,1.0,0.0
Conjunto Santa Maria,310620005620479,1127,13,125,203,225,168,174,113,106,310620005620479,20,302,246,64,38,18,3,5,2,291,1127,2.0,0.0,5.0,0.0
Conjunto Serra Verde,310620060690293,240,5,26,55,40,41,42,12,19,310620060690293,2,43,47,8,6,2,0,0,0,101,240,0.0,0.0,1.0,0.0
Conjunto São Francisco de Assis,310620005680234,300,1,30,76,68,45,47,25,8,310620005680234,7,81,71,8,3,3,1,0,0,95,300,0.0,0.0,0.0,0.0
Conjunto Taquaril,6523020118236340,14977,253,2453,3329,3031,2191,1694,1193,833,6523020118236340,499,4183,2195,296,131,37,1,2,1,4926,14977,1.0,0.0,13.0,0.0
Copacabana,6833641225144667,13333,186,1572,2060,2491,2567,1901,1432,1124,6833641225144667,152,1981,2693,1158,1044,739,123,58,31,3596,13333,3.0,0.0,118.0,31.0
Coqueiros,2484960045202251,7668,101,841,1145,1474,1326,972,874,935,2484960045202251,148,1489,1863,603,434,254,16,17,6,1896,7668,0.0,0.0,28.0,14.0
Coração Eucarístico,4659300084752597,7654,39,431,857,2127,962,1014,1055,1138,4659300084752597,19,490,844,633,952,1208,355,263,185,2204,7654,3.0,0.0,353.0,58.0
Coração de Jesus,4038060073065113,5812,55,300,528,1231,953,769,870,1106,4038060073065113,5,243,492,405,659,1194,386,389,341,1343,5812,3.0,0.0,340.0,73.0
Corumbiara,310620025610351,952,18,182,217,167,191,106,52,19,310620025610351,43,206,164,17,14,5,0,1,0,302,952,0.0,0.0,1.0,0.0
Cruzeiro,4348680078681368,8144,34,409,714,1809,1176,1025,1203,1774,4348680078681368,23,375,760,558,985,1603,512,583,525,1777,8144,1.0,1.0,761.0,124.0
Custodinha,310620005670467,319,4,49,67,48,68,38,21,24,310620005670467,8,94,64,8,2,0,0,0,0,90,319,0.0,0.0,0.0,0.0
Céu Azul,10250461672746296,23817,302,2845,3846,4603,4278,3074,2424,2445,10250461672746296,354,4555,5349,1869,1207,602,69,25,30,6610,23817,9.0,0.0,138.0,46.0
Cônego Pinheiro 1ª Seção,310620005630099,446,9,41,88,82,59,64,52,51,310620005630099,4,135,107,23,10,3,0,1,0,113,446,0.0,0.0,0.0,0.0
Cônego Pinheiro 2ª Seção,310620005630353,43,1,3,8,7,11,5,2,6,310620005630353,0,14,11,2,1,1,0,0,0,10,43,0.0,0.0,0.0,0.0
Delta,621240011300552,954,7,97,186,171,154,113,99,127,621240011300552,16,293,198,31,12,11,3,3,0,283,954,0.0,0.0,0.0,0.0
Diamante,4348680358542031,11979,168,1504,1884,2122,2422,1842,1157,880,4348680358542031,126,1464,2374,1221,1004,560,77,30,23,3428,11979,2.0,0.0,120.0,45.0
Distrito Industrial do Jatoba,310620025610342,644,15,174,139,122,112,47,19,16,310620025610342,71,122,74,6,1,0,0,0,0,181,644,3.0,1.0,49.0,19.0
Dom Bosco,4038060073451763,9720,96,891,1384,1762,1365,1530,1213,1479,4038060073451763,83,1742,2130,830,608,457,60,28,14,2781,9720,2.0,0.0,87.0,55.0
Dom Cabral,2484960045201162,4280,30,236,468,886,529,650,593,888,2484960045201162,29,656,779,424,432,395,87,41,26,1145,4280,2.0,0.0,70.0,14.0
Dom Joaquim,2484960045121448,3279,46,293,460,620,524,447,408,481,2484960045121448,22,556,675,305,263,220,26,13,5,855,3279,4.0,0.0,71.0,23.0
Dom Silverio,2484960485120819,4195,68,497,678,792,821,523,402,414,2484960485120819,69,811,885,300,141,70,3,3,1,1347,4195,1.0,0.0,26.0,15.0
Dona Clara,4659300085203076,8844,103,901,1251,1662,1514,1516,1085,812,4659300085203076,28,627,1138,683,1060,1359,309,209,140,2287,8844,6.0,1.0,277.0,83.0
Embaúbas,1242480022681205,1809,36,266,367,332,307,244,127,130,1242480022681205,25,509,293,56,15,7,0,0,0,602,1809,0.0,0.0,3.0,0.0
Engenho Nogueira,1553100028341259,1375,11,140,178,227,174,178,125,96,1553100028341259,12,173,242,58,52,62,9,17,22,331,1375,6.0,0.0,149.0,19.0
Ermelinda,1553100028251849,3455,33,331,515,642,563,529,382,460,1553100028251849,40,670,796,256,241,178,18,15,4,873,3455,3.0,0.0,25.0,10.0
Ernesto Nascimento,931860076830378,2142,15,229,348,405,347,303,281,214,931860076830378,33,329,473,206,158,62,5,4,0,628,2142,0.0,0.0,6.0,2.0
Esperança,621240051220467,2146,36,353,559,417,312,240,118,111,621240051220467,44,680,257,18,7,2,0,1,0,748,2146,2.0,0.0,4.0,0.0
Esplanada,3416820061930087,8219,52,666,1015,1360,1189,1259,1108,1570,3416820061930087,40,1093,1593,831,839,772,147,107,90,1989,8219,3.0,0.0,130.0,43.0
Estoril,3106200056701901,4539,60,384,484,958,1034,750,455,309,3106200056701901,13,235,478,417,642,874,199,167,89,876,4539,4.0,3.0,1341.0,334.0
Estrela,621240011240774,1591,28,258,312,291,248,177,141,136,621240011240774,28,447,278,53,26,13,2,0,3,455,1591,0.0,0.0,2.0,0.0
Estrela do Oriente,2484960045361252,4761,52,459,667,723,786,612,391,561,2484960045361252,31,604,995,335,331,163,33,13,12,1223,4761,1.0,1.0,92.0,23.0
Etelvina Carneiro,1553100303300986,2331,27,256,349,458,347,348,349,197,1553100303300986,29,347,452,262,176,90,10,4,2,676,2331,0.0,0.0,9.0,4.0
Europa,5591161092423911,10065,117,1185,1560,1835,1806,1392,1029,1141,5591161092423911,194,2088,2311,751,514,217,16,4,3,2665,10065,9.0,0.0,57.0,10.0
Eymard,2174340424480950,3947,44,409,638,695,628,619,397,517,2174340424480950,25,695,1021,313,220,108,13,7,1,1091,3947,4.0,1.0,27.0,11.0
Fazendinha,1242480022521213,3715,51,556,757,793,609,432,266,251,1242480022521213,50,1189,640,76,31,11,0,0,0,1111,3715,0.0,0.0,5.0,0.0
Fernão Dias,1553100083200888,4190,52,487,547,761,937,755,401,250,1553100083200888,16,319,476,371,546,704,107,94,37,981,4190,0.0,2.0,176.0,31.0
Flamengo,310620060690304,328,1,56,77,63,52,32,34,13,310620060690304,4,66,56,9,5,2,0,0,0,129,328,0.0,0.0,0.0,0.0
Flavio De Oliveira,1242480102440530,2872,21,278,469,579,529,484,333,179,1242480102440530,12,446,714,322,193,67,6,0,2,811,2872,0.0,0.0,7.0,0.0
Flavio Marques Lisboa,3106200256102034,7861,128,904,1315,1468,1305,1163,780,798,3106200256102034,100,1529,1710,666,357,143,17,4,5,2298,7861,7.0,0.0,31.0,7.0
Floramar,4659300909901407,9775,102,990,1386,1812,1722,1465,1015,1283,4659300909901407,77,1906,2109,895,675,381,52,22,8,2558,9775,1.0,0.0,91.0,52.0
Floresta,7144260129414927,11841,63,587,1164,2519,1693,1609,1589,2617,7144260129414927,50,878,1705,1200,1688,2007,447,324,242,2650,11841,4.0,0.0,641.0,246.0
Frei Leopoldo,621240121320375,1995,43,263,373,374,355,261,210,116,621240121320375,25,471,384,106,82,22,5,2,0,592,1995,1.0,0.0,10.0,6.0
Funcionários,5591160101163591,8838,71,528,826,1633,1183,1149,1353,2024,5591160101163591,10,300,650,473,827,1571,537,804,970,2026,8838,1.0,0.0,1424.0,365.0
Gameleira,931860017011064,328,2,23,16,46,38,14,32,37,931860017011064,0,37,37,20,17,16,1,0,0,55,328,1.0,0.0,61.0,3.0
